Little             200   192.3       4       3       0     4.0
Marseilles         571   456.8      25      11      14     4.3
Grenoble           148   115.6      28      12       0     6.3
Rennes             156   114.7      36       6       2     5.6
Toulouse           315   231.6      36      12       6     6.6
Bordeaux           318   222.4      43      12       7     6.2
Strasbourg         253   167.5      51      10       0     5.9
Nice               341   222.9      53       1      18     4.3
Poitiers           184   102.8      79      11       1     7.3
Lyon               447   248.3      80      11       9     6.8
Le Mans            204   112.1      82      10       3     7.0
Dijon              168    87.0      93      11       4     7.4
Paris             1854   766.1     142       9       9     6.7
