       1       1       3    2.33    2.75    14.0    12.0    3.50    4.50    4.00   13.00  -0.133  -3.409   0.194  -7.012   0.342  -0.607
       1       2       4    3.00    4.25    12.0    14.0    4.50    3.50    4.00   13.00  -0.133  -3.409   0.194  -7.012   0.342  -0.607
       2       1       5    2.67    3.75    14.0    17.0    3.50    3.50    3.50   15.50  -0.633  -0.909   2.694  -4.512  -0.158  -1.107
       2       2       6    4.00    5.00    17.0    14.0    3.50    3.50    3.50   15.50  -0.633  -0.909   2.694  -4.512  -0.158  -1.107
       3       1       7    4.00    5.00    17.0    11.5    4.50    4.00    4.25   14.25   0.117  -2.159   1.444  -5.762   0.592  -0.357
       3       2       8    4.00    4.25    11.5    17.0    4.00    4.50    4.25   14.25   0.117  -2.159   1.444  -5.762   0.592  -0.357
       4       1       9    4.00    4.50    19.5    19.0    3.50    4.00    3.75   19.25  -0.383   2.841   6.444  -0.762   0.092  -0.857
       4       2      10    4.33    3.50    19.0    19.5    4.00    3.50    3.75   19.25  -0.383   2.841   6.444  -0.762   0.092  -0.857
       5       1      11    4.33    3.00    23.0    25.5    4.00    4.50    4.25   24.25   0.117   7.841  11.444   4.238   0.592  -0.357
       5       2      12    4.33    5.00    25.5    23.0    4.50    4.00    4.25   24.25   0.117   7.841  11.444   4.238   0.592  -0.357
       6       1      13    4.00    5.00    20.5    17.0    4.25    4.00    4.13   18.75  -0.008   2.341   5.944  -1.262   0.467  -0.482
       6       2      14    3.67    5.00    17.0    20.5    4.00    4.25    4.13   18.75  -0.008   2.341   5.944  -1.262   0.467  -0.482
       7       1      15    3.00    4.25    21.0    18.5    5.00    3.25    4.13   19.75  -0.008   3.341   6.944  -0.262   0.467  -0.482
       7       2      16    3.67    4.75    18.5    21.0    3.25    5.00    4.13   19.75  -0.008   3.341   6.944  -0.262   0.467  -0.482
       8       1      17    3.33    4.00    12.5     8.0    4.00    3.00    3.50   10.25  -0.633  -6.159  -2.556  -9.762  -0.158  -1.107
       8       2      18    4.00    3.00     8.0    12.5    3.00    4.00    3.50   10.25  -0.633  -6.159  -2.556  -9.762  -0.158  -1.107
       9       1      21    3.67    4.50    16.5    11.0    4.25    4.25    4.25   13.75   0.117  -2.659   0.944  -6.262   0.592  -0.357
       9       2      22    3.33    4.50    11.0    16.5    4.25    4.25    4.25   13.75   0.117  -2.659   0.944  -6.262   0.592  -0.357
      10       1      23    5.00    5.00    18.5    18.5    5.00    4.75    4.88   18.50   0.742   2.091   5.694  -1.512   1.217   0.268
      10       2      24    5.00    5.00    18.5    18.5    4.75    5.00    4.88   18.50   0.742   2.091   5.694  -1.512   1.217   0.268
      11       1      25    5.00    5.00     1.0    21.5    4.25    3.75    4.00   11.25  -0.133  -5.159  -1.556  -8.762   0.342  -0.607
      11       2      26    4.67    5.00    21.5     1.0    3.75    4.25    4.00   11.25  -0.133  -5.159  -1.556  -8.762   0.342  -0.607
      12       1      27    2.00    4.00     9.0    10.0    3.50    3.75    3.63    9.50  -0.508  -6.909  -3.306 -10.512  -0.033  -0.982
      12       2      28    2.33    3.50    10.0     9.0    3.75    3.50    3.63    9.50  -0.508  -6.909  -3.306 -10.512  -0.033  -0.982
      13       1      29    4.67    4.50    23.0    11.0    4.50    3.50    4.00   17.00  -0.133   0.591   4.194  -3.012   0.342  -0.607
      13       2      30    3.33    3.00    11.0    23.0    3.50    4.50    4.00   17.00  -0.133   0.591   4.194  -3.012   0.342  -0.607
      14       1      31    4.67    4.25    17.5    19.5    4.25    4.00    4.13   18.50  -0.008   2.091   5.694  -1.512   0.467  -0.482
      14       2      32    4.67    4.50    19.5    17.5    4.00    4.25    4.13   18.50  -0.008   2.091   5.694  -1.512   0.467  -0.482
      15       1      33    3.67    3.50    21.5    20.5    4.25    5.00    4.63   21.00   0.492   4.591   8.194   0.988   0.967   0.018
      15       2      34    3.67    4.75    20.5    21.5    5.00    4.25    4.63   21.00   0.492   4.591   8.194   0.988   0.967   0.018
      16       1      35    4.33    4.25    17.0    14.5    5.00    4.25    4.63   15.75   0.492  -0.659   2.944  -4.262   0.967   0.018
      16       2      36    4.67    5.00    14.5    17.0    4.25    5.00    4.63   15.75   0.492  -0.659   2.944  -4.262   0.967   0.018
      17       1      37    4.00    3.75    16.5    11.5    4.75    4.25    4.50   14.00   0.367  -2.409   1.194  -6.012   0.842  -0.107
      17       2      38    4.00    4.00    11.5    16.5    4.25    4.75    4.50   14.00   0.367  -2.409   1.194  -6.012   0.842  -0.107
      18       1      39    4.00    3.75    22.5    20.5    4.50    5.00    4.75   21.50   0.617   5.091   8.694   1.488   1.092   0.143
      18       2      40    5.00    4.00    20.5    22.5    5.00    4.50    4.75   21.50   0.617   5.091   8.694   1.488   1.092   0.143
      19       1      41    4.67    5.00     8.5    20.0    4.25    4.75    4.50   14.25   0.367  -2.159   1.444  -5.762   0.842  -0.107
      19       2      42    4.33    4.50    20.0     8.5    4.75    4.25    4.50   14.25   0.367  -2.159   1.444  -5.762   0.842  -0.107
      20       1      43    4.67    4.50    15.5    15.5    4.25    4.25    4.25   15.50   0.117  -0.909   2.694  -4.512   0.592  -0.357
      20       2      44    4.67    4.50    15.5    15.5    4.25    4.25    4.25   15.50   0.117  -0.909   2.694  -4.512   0.592  -0.357
      21       1      45    4.33    4.00    15.0    11.5    4.25    4.75    4.50   13.25   0.367  -3.159   0.444  -6.762   0.842  -0.107
      21       2      46    4.67    3.75    11.5    15.0    4.75    4.25    4.50   13.25   0.367  -3.159   0.444  -6.762   0.842  -0.107
      22       1      47    3.67    4.75    16.5    19.5    3.50    4.50    4.00   18.00  -0.133   1.591   5.194  -2.012   0.342  -0.607
      22       2      48    4.67    4.50    19.5    16.5    4.50    3.50    4.00   18.00  -0.133   1.591   5.194  -2.012   0.342  -0.607
      23       1      49    4.67    3.75    13.5    21.5    4.75    4.75    4.75   17.50   0.617   1.091   4.694  -2.512   1.092   0.143
      23       2      50    4.67    4.50    21.5    13.5    4.75    4.75    4.75   17.50   0.617   1.091   4.694  -2.512   1.092   0.143
      24       1      51    2.00    2.50    14.0     4.5    4.00    3.25    3.63    9.25  -0.508  -7.159  -3.556 -10.762  -0.033  -0.982
      24       2      52    3.00    2.50     4.5    14.0    3.25    4.00    3.63    9.25  -0.508  -7.159  -3.556 -10.762  -0.033  -0.982
      25       1      53    4.33    5.00    19.0    17.5    4.25    4.50    4.38   18.25   0.242   1.841   5.444  -1.762   0.717  -0.232
      25       2      54    4.00    4.00    17.5    19.0    4.50    4.25    4.38   18.25   0.242   1.841   5.444  -1.762   0.717  -0.232
      26       1      55    4.67    4.50    20.5    21.5    4.75    5.00    4.88   21.00   0.742   4.591   8.194   0.988   1.217   0.268
      26       2      56    5.00    4.00    21.5    20.5    5.00    4.75    4.88   21.00   0.742   4.591   8.194   0.988   1.217   0.268
      27       1      57    4.33    4.75    19.5    22.0    4.50    4.50    4.50   20.75   0.367   4.341   7.944   0.738   0.842  -0.107
      27       2      58    4.33    5.00    22.0    19.5    4.50    4.50    4.50   20.75   0.367   4.341   7.944   0.738   0.842  -0.107
      28       1      59    2.00    3.75    19.0     9.0    4.25    2.50    3.38   14.00  -0.758  -2.409   1.194  -6.012  -0.283  -1.232
      28       2      60    1.00    3.75     9.0    19.0    2.50    4.25    3.38   14.00  -0.758  -2.409   1.194  -6.012  -0.283  -1.232
      29       1      61    2.67    4.00    18.5    18.0    3.00    3.75    3.38   18.25  -0.758   1.841   5.444  -1.762  -0.283  -1.232
      29       2      62    3.33    3.25    18.0    18.5    3.75    3.00    3.38   18.25  -0.758   1.841   5.444  -1.762  -0.283  -1.232
      30       1      63    3.00    3.00     8.0    23.0    3.50    5.00    4.25   15.50   0.117  -0.909   2.694  -4.512   0.592  -0.357
      30       2      64    5.00    3.50    23.0     8.0    5.00    3.50    4.25   15.50   0.117  -0.909   2.694  -4.512   0.592  -0.357
      31       1      65    4.00    3.25    15.5    12.5    2.75    3.00    2.88   14.00  -1.258  -2.409   1.194  -6.012  -0.783  -1.732
      31       2      66    4.00    2.25    12.5    15.5    3.00    2.75    2.88   14.00  -1.258  -2.409   1.194  -6.012  -0.783  -1.732
      32       1      67    3.67    2.75    18.0    20.0    3.75    4.75    4.25   19.00   0.117   2.591   6.194  -1.012   0.592  -0.357
      32       2      68    2.67    4.00    20.0    18.0    4.75    3.75    4.25   19.00   0.117   2.591   6.194  -1.012   0.592  -0.357
      33       1      69    4.33    3.75    16.0    18.5    3.75    4.25    4.00   17.25  -0.133   0.841   4.444  -2.762   0.342  -0.607
      33       2      70    4.00    4.25    18.5    16.0    4.25    3.75    4.00   17.25  -0.133   0.841   4.444  -2.762   0.342  -0.607
