       6    0.35    3.00   0.320   0.660    5.26   0.190    1.05   94.68
       7    0.41    3.50   0.300   0.675    4.76   0.210    1.16   85.68
       8    0.45    4.00   0.280   0.690    4.54   0.220    1.22   81.72
       9    0.50    4.50   0.260   0.705    4.34   0.230    1.27   78.12
      10    0.55    5.00   0.240   0.715    4.16   0.240    1.33   74.88
      11    0.59    5.50   0.220   0.730    4.00   0.250    1.38   72.00
       5    0.65    5.80   0.201   0.740    3.62   0.276    1.53   65.21
      12    0.64    6.00   0.200   0.755    3.70   0.270    1.50   66.60
       4    0.64    6.17   0.182   0.735    3.61   0.276    1.53   64.98
       2    0.69    6.30   0.190   0.754    3.48   0.287    1.59   62.64
      13    0.69    6.50   0.175   0.765    3.57   0.280    1.55   64.26
       1    0.72    6.64   0.170   0.760    3.52   0.284    1.57   63.36
      14    0.75    7.00   0.160   0.776    3.44   0.290    1.61   61.92
      15    0.81    7.50   0.140   0.790    3.22   0.310    1.72   57.96
       3    0.87    7.83   0.122   0.794    3.09   0.323    1.80   55.62
      16    0.86    8.00   0.120   0.805    3.17   0.315    1.75   57.06
      17    0.91    8.50   0.100   0.820    3.03   0.330    1.83   54.54
      18    0.96    9.00   0.800   0.835    2.94   0.340    1.88   52.92
      19    1.00    9.50   0.500   0.850    2.87   0.350    1.94   51.66
      20    1.05   10.00   0.300   0.865    2.77   0.360    2.00   49.86
