film,reissue,prodCost,usRev,forRev,totRev,profit,distCost,dC_tR,dC_pC,year,pctProf_totCost
STREET GIRL,0,211,806,198,1004,500,293,0.292,1.389,1930,99.2
VAGABOND LOVER,0,204,671,85,756,335,217,0.287,1.064,1930,79.6
SAINT IN NEW YO,0,128,350,310,460,195,137,0.298,1.07,1938,73.6
BACHELOR MOTHER,0,509,1170,805,1975,827,639,0.324,1.255,1939,72
TOP HAT,0,609,1782,1420,3202,1325,1268,0.396,2.082,1936,70.6
LITTLE WOMEN[*],1,424,1337,663,2000,800,776,0.388,1.83,1934,66.7
RIO RITA,0,678,1775,625,2400,935,787,0.328,1.161,1930,63.8
CUCKOOS,0,407,662,201,863,335,121,0.14,0.297,1930,63.4
FIVE CAME BACK,0,225,441,280,721,265,231,0.32,1.027,1939,58.1
KITTY FOYLE,0,738,1710,675,2385,869,778,0.326,1.054,1941,57.3
MAN TO REMEMBER,0,118,293,123,416,146,152,0.365,1.288,1939,54.1
KING KONG[*],1,672,745,1111,1856,650,534,0.288,0.795,1933,53.9
FOLLOW THE FLEE,0,747,1532,1175,2727,945,1035,0.38,1.386,1936,53
ANNE OF GREENIG,0,226,573,220,793,272,295,0.372,1.305,1935,52.2
INFORMER,0,243,455,495,950,325,382,0.402,1.572,1935,52
ROBERTA,0,610,1467,868,2335,770,955,0.409,1.566,1935,49.2
GAY DIVORCEE,0,520,1077,697,1774,584,670,0.378,1.288,1935,49.1
EX MRS BRADFORD,0,369,730,354,1084,350,365,0.337,0.989,1936,47.7
STAR OF MIDNIG[*],1,280,575,256,831,265,286,0.344,1.021,1935,46.8
SKY GIANT,0,181,370,148,518,165,172,0.332,0.95,1938,46.7
SWING TIME,0,886,1624,994,2618,830,902,0.345,1.018,1936,46.4
FLYING DOWN TO,0,462,923,622,1545,480,603,0.39,1.305,1934,45.1
MELODY CRUISE,0,163,316,169,485,150,172,0.355,1.055,1933,44.8
CROSS FIRE,0,26,74,24,98,30,42,0.429,1.615,1933,44.1
SECOND WIFE,0,68,140,57,197,58,71,0.36,1.044,1936,41.7
HOOK LINE AND S,0,287,595,185,780,225,268,0.344,0.934,1931,40.5
COME ON DANGER,0,31,29,27,106,30,45,0.425,1.452,1933,39.5
PARTNERS,0,33,82,27,109,30,46,0.422,1.394,1932,38
MY FAVORITE WIF,0,921,1452,605,2057,505,631,0.307,0.685,1940,32.5
BRIDE WALKS OUT,0,289,502,168,670,164,217,0.324,0.751,1936,32.4
CRACKED NUTS,0,261,505,112,617,150,206,0.334,0.789,1931,32.1
GUN LAW[*],1,78,148,47,195,47,70,0.359,0.897,1938,31.8
PHANTOM OF CRES,0,187,348,88,436,100,149,0.342,0.797,1933,29.8
FIFTH AVENUE GI,0,607,950,420,1370,314,449,0.328,0.74,1939,29.7
LUCKY DEVILS,0,117,179,106,285,65,103,0.361,0.88,1933,29.5
MARSHALL OF ME[*],1,75,131,49,180,41,64,0.356,0.853,1940,29.5
IRENE,0,578,845,775,1620,367,675,0.417,1.168,1940,29.3
GRIDIRON FLASH,0,78,167,32,199,43,78,0.392,1,1935,27.6
SON OF KONG,0,269,331,285,616,133,214,0.347,0.796,1934,27.5
THAT'S RIGHT YO,0,271,926,92,1018,219,528,0.519,1.948,1940,27.4
ALICE ADAMS,0,342,574,196,770,164,264,0.343,0.772,1935,27.1
COMMON LAW,0,339,573,140,713,150,224,0.314,0.661,1932,26.6
BILL OF DIVORCE,0,250,383,148,531,110,171,0.322,0.684,1933,26.1
IN PERSON,0,493,496,219,715,147,75,0.105,0.152,1936,25.9
GHOST VALLEY,0,41,74,27,101,20,40,0.396,0.976,1932,24.7
MORNING GLORY,0,239,377,205,582,115,228,0.392,0.954,1934,24.6
