cartType,rangeFire,rootA,grpMean,grpVar,grpSD
1,10,5.34,5.478333333,0.210336667,0.458624756
1,10,4.96,5.478333333,0.210336667,0.458624756
1,10,5.44,5.478333333,0.210336667,0.458624756
1,10,5.45,5.478333333,0.210336667,0.458624756
1,10,6.34,5.478333333,0.210336667,0.458624756
1,10,5.34,5.478333333,0.210336667,0.458624756
1,20,11.9,10.26833333,4.295656667,2.0725966
1,20,7.21,10.26833333,4.295656667,2.0725966
1,20,13.06,10.26833333,4.295656667,2.0725966
1,20,9.05,10.26833333,4.295656667,2.0725966
1,20,10.49,10.26833333,4.295656667,2.0725966
1,20,9.9,10.26833333,4.295656667,2.0725966
1,30,17.63,15.38333333,10.13614667,3.183731563
1,30,13.98,15.38333333,10.13614667,3.183731563
1,30,12.85,15.38333333,10.13614667,3.183731563
1,30,18.8,15.38333333,10.13614667,3.183731563
1,30,17.99,15.38333333,10.13614667,3.183731563
1,30,11.05,15.38333333,10.13614667,3.183731563
1,40,23.1,22.81333333,9.133066667,3.022096403
1,40,21.35,22.81333333,9.133066667,3.022096403
1,40,28.47,22.81333333,9.133066667,3.022096403
1,40,23.09,22.81333333,9.133066667,3.022096403
1,40,20.27,22.81333333,9.133066667,3.022096403
1,40,20.6,22.81333333,9.133066667,3.022096403
1,50,30.47,30.41,28.88584,5.374554865
1,50,31.67,30.41,28.88584,5.374554865
1,50,31.76,30.41,28.88584,5.374554865
1,50,39.08,30.41,28.88584,5.374554865
1,50,25.62,30.41,28.88584,5.374554865
1,50,23.86,30.41,28.88584,5.374554865
2,10,8.12,6.775,0.50659,0.711751361
2,10,6.53,6.775,0.50659,0.711751361
2,10,6.89,6.775,0.50659,0.711751361
2,10,6.58,6.775,0.50659,0.711751361
2,10,6.48,6.775,0.50659,0.711751361
2,10,6.05,6.775,0.50659,0.711751361
2,20,16.8,15.67166667,4.534936667,2.129539074
2,20,13.1,15.67166667,4.534936667,2.129539074
2,20,16.44,15.67166667,4.534936667,2.129539074
2,20,15.63,15.67166667,4.534936667,2.129539074
2,20,18.67,15.67166667,4.534936667,2.129539074
2,20,13.39,15.67166667,4.534936667,2.129539074
2,30,22.88,22.52666667,5.763346667,2.400697121
2,30,21.59,22.52666667,5.763346667,2.400697121
2,30,18.89,22.52666667,5.763346667,2.400697121
2,30,21.68,22.52666667,5.763346667,2.400697121
2,30,25.78,22.52666667,5.763346667,2.400697121
2,30,24.34,22.52666667,5.763346667,2.400697121
2,40,35.56,32.47666667,7.996666667,2.827837808
2,40,33.78,32.47666667,7.996666667,2.827837808
2,40,35.07,32.47666667,7.996666667,2.827837808
2,40,29.94,32.47666667,7.996666667,2.827837808
2,40,28.56,32.47666667,7.996666667,2.827837808
2,40,31.95,32.47666667,7.996666667,2.827837808
2,50,37.5,43.02666667,10.90846667,3.302796795
2,50,47.23,43.02666667,10.90846667,3.302796795
2,50,41.62,43.02666667,10.90846667,3.302796795
2,50,43.88,43.02666667,10.90846667,3.302796795
2,50,44.93,43.02666667,10.90846667,3.302796795
2,50,43,43.02666667,10.90846667,3.302796795
