Quingdao       A  645.00     150     3.3    10.8      12     306      16
Tianjin        B  386.36     167     2.8     3.9    12.1     317    15.5
Shenzhen       C  669.06     161     4.5    12.6    26.8     377   15.75
GuangZhou      D  578.95     245     3.1     6.6    10.5     275      12
Ningbo-nbct    E  600.00   252.2     3.3    10.7    16.7     300    14.5
Chiwan         F  655.56   138.4     4.1      12    23.3     380    14.5
Shekou         G  700.00   173.3     4.1    10.5    20.3     281      16
Nansha         H  333.33   371.7       3       8      15     350    15.5
COSCO-HIT      I  877.00     150       4      16    37.5     320    14.5
MTL            J  817.14   132.3     4.3    15.1    27.7     347    15.5
DPI            K  589.00     167       4       8      50     305      14
ACT            L  588.00   142.7       4      10      30     370    15.5
Chuanshan      M  700.00     200     3.6    11.2    20.4     350      17
Waigaoqiao-I   N 1058.00     334       5    15.6      33     313    13.2
Yanshang-I     O  633.33   278.9     3.8    13.3    24.4     333      16
