SiteNum,Site,ELEV,LAT,LONG,Mean01,Mean02,Mean03,Mean04,Mean05,Mean06,Mean07,Mean08,Mean09,Mean10,Mean11,Mean12,Mean13
2,ABILENE MUNICIPAL AP           ABI,1790,32.42,99.68,43.5,48.6,56.4,64.6,72.8,79.8,83.5,82.6,75.5,66,53.7,45.4,64.4
5,ALBANY,1400,32.72,99.3,41.8,46.6,54.2,63,71.2,79.1,83,81.9,74.7,64.6,52.5,44,63.1
7,ALICE                          ALI,201,27.73,98.07,55.8,59.6,66.8,72.5,78.2,82.8,84.6,84.6,80.9,73.5,65,57.7,71.8
8,ALPINE,4530,30.37,103.67,46.2,50,55.7,62.3,70.1,75.9,76.2,74.5,70.2,62.8,53.4,47.2,62
11,ALVIN,28,29.37,95.23,52.7,55.9,62.5,68.5,75.5,80.7,82.7,82.7,78.7,70.6,62.2,54.9,69
12,AMARILLO INTL AP               AMA,3586,35.22,101.7,35.8,40.6,47.9,56.2,65.2,74.3,78.2,76.3,69.1,58.2,45.1,37,57
13,AMISTAD DAM,1157,29.47,101.03,50.3,55.1,63,70.4,77.4,82.7,85,84.7,79.6,70.1,59.5,51.4,69.1
14,ANAHUAC,24,29.78,94.67,51.5,54.8,61.7,67.8,75.2,81,83.2,82.8,78.8,70,61,53.7,68.5
16,ANDREWS,3172,32.35,102.55,44.3,49.7,56.8,64.7,73.1,79.7,81.4,80,74.2,65.2,53.2,45.8,64
17,ANGLETON 2 W,27,29.15,95.45,53.3,56.4,62.9,68.6,75.6,80.9,83,82.8,79,70.8,62.2,55.2,69.2
19,ANSON,1710,32.77,99.9,43.1,48.4,56.2,64.7,73.3,80.3,84.1,83,75.9,65.9,53.6,45,64.5
21,ARANSAS WILDLIFE REF,15,28.32,96.8,53.3,56.5,63.3,70.1,76.9,82.2,83.8,83.7,80.3,73,63.3,55.9,70.2
22,ARCHER CITY,1045,33.58,98.63,40.3,45.4,53.3,62.2,70.9,79.3,84,83,75.1,64.8,52.1,42.9,62.8
24,ASPERMONT,1670,33.15,100.23,40.8,45.8,53.9,62.4,71.7,79.8,83.7,82.1,74.2,64,50.9,42.5,62.7
25,ATHENS,448,32.17,95.83,46,50.6,57.6,64.9,72.6,79.5,83.1,82.8,77,66.9,55.8,48,65.4
27,AUSTIN CITY (CAMP MABRY)       ATT,621,30.3,97.7,50.2,54.6,61.7,68.3,75.1,81,84.2,84.5,79.5,70.6,59.7,52.1,68.5
28,AUSTIN-BERGSTROM INTL AP       AUS,590,30.18,97.68,51.1,55.5,62.6,68.9,75.6,81.5,84.6,84.5,79.5,70.8,60.5,52.9,69
30,BAKERSFIELD,2540,30.88,102.3,45.6,50.5,57.7,66.1,74.2,80.5,82.9,81.9,75.7,66.1,54.6,47,65.2
31,BALLINGER 2 NW,1755,31.73,99.98,43.1,48.7,56.2,65.3,72.9,79.3,82.2,81.3,75,65.2,53.5,44.6,63.9
32,BALMORHEA,3220,30.98,103.73,44.9,49.3,56,63.5,71.9,79.1,80.6,78.7,72.6,63.7,53,45.4,63.2
34,BARDWELL DAM,461,32.27,96.63,43.7,48.9,56.6,64.3,72.5,79.9,83.9,83.5,77.1,66.8,55.1,46.5,64.9
36,BAY CITY WATERWORKS,52,28.98,95.98,55.7,59,65.4,70.2,76.9,81.6,83.8,83.7,80.1,72.6,64.6,57.4,70.9
37,BAYTOWN,34,29.83,95,51.6,55.3,62.2,68.4,75.3,81.1,83.6,83.3,78.8,70.2,61.1,53.9,68.7
39,BEAUMONT RESEARCH CTR,27,30.07,94.28,51.1,54.5,61.5,67.8,75.4,81,83.1,82.7,78.3,69.5,60.6,53.5,68.3
41,BEEVILLE 5 NE,255,28.45,97.7,53.8,57.4,64.6,70.3,76.8,81.6,83.9,83.7,79.9,72,63,55.7,70.2
43,BELTON DAM,664,31.1,97.48,45.8,50.3,58.3,65.5,72.8,79.3,82.9,82.8,77.1,67.4,56.6,48.4,65.6
44,BENAVIDES 2,380,27.6,98.42,55.5,59,66.2,72.6,78.7,83.3,85.3,84.9,80.5,72.9,63.8,56.8,71.6
45,BENBROOK DAM,790,32.65,97.45,43.3,48.4,56.2,64.1,72.4,80.1,84.5,84,77,66.8,55,46.2,64.8
48,BIG LAKE 2,2690,31.2,101.48,42.8,47.7,55.8,63.8,72.2,78.3,80.7,79.5,73.3,63.7,52.4,44.2,62.9
49,BIG SPRING                     HCA,2500,32.23,101.45,42.7,47.7,55.5,63.9,72.6,79.3,82.7,81.5,74.7,65.2,52.9,44.7,63.6
51,BLANCO,1370,30.1,98.42,46.6,50.7,58.1,64.7,72.4,78.6,81.9,81.7,76.3,66.9,56.3,48.5,65.2
53,BOERNE,1444,29.8,98.73,47.2,51.3,58.6,64.9,72.1,77.9,80.6,80.6,76,66.9,56.6,49,65.1
55,BONHAM 3 NNE,600,33.63,96.17,40.6,45.5,53.3,61,69.6,77.6,82.1,81.6,74.3,63.7,51.6,43.2,62
57,BOQUILLAS RANGER STN,1880,29.18,102.97,48.5,54.2,62.3,70.4,80,86.2,86.8,84.9,80.1,70.1,58.3,49.7,69.3
58,BORGER,3140,35.65,101.45,36.4,41.5,49,57.6,66.4,75.3,79.5,77.8,70.8,60.2,46.7,37.9,58.3
59,BOWIE,1080,33.55,97.85,40.2,45.4,53.2,61.8,69.9,78.2,82.8,82.2,74.5,64.1,51.5,42.9,62.2
62,BOYS RANCH,3191,35.53,102.25,35.9,40.8,48.6,56.6,65.6,75.1,78.8,76.6,69.2,57.8,44.7,36.8,57.2
63,BRACKETTVILLE,1118,29.32,100.42,50.6,54.9,62.7,69.5,76.3,81.4,83.8,83.9,79.2,70.5,59.8,52,68.7
65,BRADY,1720,31.12,99.33,45.7,50.2,57.7,65,72.5,78.7,82.1,81.4,75.5,66.2,55.3,47.5,64.8
66,BRAVO,4160,35.62,103,34.8,39.3,46.3,54.3,63.1,72.2,76.4,75,67.2,56.8,44.2,35.7,55.4
68,BRECKENRIDGE,1170,32.75,98.9,43.4,48.2,56.7,64.6,72.9,80.4,84.5,83.4,76.2,66.1,53.8,45,64.6
70,BRENHAM,313,30.17,96.4,50.6,54.6,61.6,68.5,75.9,82,85,84.9,79.6,70.5,60.1,52.6,68.8
71,BRIDGEPORT,745,33.2,97.77,43.3,48.4,57,64.4,72.4,79.3,84.1,83,75.9,65.6,54.2,45.4,64.4
73,BROWNFIELD 2,3300,33.18,102.27,40.1,44.8,51.8,60,69.2,76.9,79.6,77.9,71.4,61.6,49.5,41.7,60.4
74,BROWNSVILLE AP                 BRO,19,25.9,97.43,59.6,62.7,68.8,73.8,79.3,82.7,83.9,84,81,75,67.7,61.1,73.3
75,BROWNWOOD,1385,31.68,98.97,43.4,48.5,56.3,64.3,72.3,79.1,82.9,82.3,75.9,65.9,54.3,46.2,64.3
80,BURLESON,730,32.55,97.32,43.7,49,56.5,64.6,72.6,80.1,84.3,84.3,77.7,67.1,55.2,46.4,65.1
81,BURNET,1275,30.75,98.23,45.9,50.4,58,65.1,72.5,78.7,82.2,81.9,76.4,66.6,56,48,65.1
84,CAMERON,364,30.85,96.97,50.6,55,62.3,68.7,75.5,81.3,84.6,84.5,79.2,70.3,60.1,52.4,68.7
85,CAMP WOOD,1470,29.68,100.02,47.4,51.8,59.3,66.2,74,79.7,82.1,81.6,76.9,67.4,56.7,49.1,66
86,CANADIAN,2300,35.92,100.38,33.1,38.4,46.4,55.9,65.3,74.9,79.9,78.7,70.5,58.6,44.6,34.8,56.8
87,CANDELARIA,2875,30.13,104.68,49.1,54.2,60.8,68,76,83.2,83.8,81.5,77.1,67.8,55.9,49.3,67.2
89,CANYON DAM,1000,29.87,98.2,49,53,60.3,67.1,74.1,80,83.1,83,78,69.3,59,51.3,67.3
90,CANYON,3590,34.98,101.93,38,42.9,50.1,58.4,67.2,75.9,79.3,77.3,70.9,60.5,47.4,39,58.9
91,CARRIZO SPRINGS,613,28.48,99.87,52.4,57.2,65.4,72.6,79.1,84.1,86.3,85.7,81,72,61.5,53.6,70.9
93,CARTA VALLEY 4 W,1780,29.8,100.73,47.1,51.2,58.6,66.7,74.4,79.6,82.4,81.9,77.2,67.2,56.3,48.1,65.9
94,CARTHAGE,340,32.13,94.35,45.2,49.8,57.4,64,72,78.9,82.6,82.1,76.2,65.9,55.2,47.6,64.7
