sampNum,warp,weft,mass,airPermMn,airPermSD,waterCont
1,54,20,101,45.74,1.8,53.65
2,54,25,110.3,27.02,2.44,45.65
3,54,30,119.5,15.68,0.68,40.34
4,54,35,127.3,8.76,0.39,38.21
5,54,40,136.7,4.37,0.15,35.66
6,54,45,144.1,2.9,0.4,32.35
7,57,20,101.2,47.94,1.83,50.53
8,57,25,111.1,27.52,0.78,44.91
9,57,30,120.5,14.84,0.97,40.93
10,57,35,130.7,8.99,0.48,37.49
11,57,40,142,3.98,0.24,33.62
12,57,45,146.3,2.68,0.12,32.33
13,60,20,107.9,33.98,1.16,50.19
14,60,25,118.7,17.01,0.79,45.68
15,60,30,129.5,9.75,0.41,39.31
16,60,35,141.4,4.56,0.41,36
17,60,40,151.2,2.12,0.07,33.8
18,60,45,153.7,1.7,0.05,32.04
19,63,20,109,27.68,0.55,47.89
20,63,25,119.1,15.24,0.64,44.52
21,63,30,129.1,7.23,0.13,40.2
22,63,35,148.5,3.22,0.42,35.72
23,63,40,150.3,1.89,0.08,33.4
24,63,42,154.4,1.61,0.05,32.31
25,66,20,111.2,27.28,1.68,47.77
26,66,25,123,14.42,1.39,43.59
27,66,30,134,6.9,0.21,37.66
28,66,35,144.4,3.19,0.17,37.09
29,66,40,155,1.65,0.06,35.69
30,66,42,160.2,1.38,0.05,29.49
