runNum,moldTemp,meltTemp,injectPrs,injectTime,coolTime,shrinkPct
1,40,230,80,1,10,9.084
2,40,230,80,1,15,9.072
3,40,230,80,1,20,9.023
4,40,240,100,2,10,9.209
5,40,240,100,2,15,9.133
6,40,240,100,2,20,8.643
7,40,250,120,3,10,9.105
8,40,250,120,3,15,8.989
9,40,250,120,3,20,8.965
10,60,230,100,3,10,8.404
11,60,230,100,3,15,8.306
12,60,230,100,3,20,8.387
13,60,240,120,1,10,9.505
14,60,240,120,1,15,9.501
15,60,240,120,1,20,9.473
16,60,250,80,2,10,9.481
17,60,250,80,2,15,9.491
18,60,250,80,2,20,9.483
19,80,230,120,2,10,8.685
20,80,230,120,2,15,8.683
21,80,230,120,2,20,8.686
22,80,240,80,3,10,8.769
23,80,240,80,3,15,8.652
24,80,240,80,3,20,8.645
25,80,250,100,1,10,9.921
26,80,250,100,1,15,9.979
27,80,250,100,1,20,9.659
