woolID,woolType,coreBulk,barbe,fibrDiam,medulla,gst,gse
1,Halfbred,28.3,75.02,27.8,2.5,21.84,145.94
2,Crossbred lambs 1,27.8,67.62,27.5,7.5,11.14,67.89
3,Semi-worsted,24.5,111.77,35,5.7,17.58,150.05
4,Down 1,32.9,78.38,30.6,7,28.05,244.62
5,Drysdale 1,25.9,77.44,33.9,22.4,5.72,34.54
6,Perendale 1,29.9,77.7,35.7,8.6,13.48,85.76
7,Crossbred crutchings,26.7,73.86,39.9,16.9,6.3,37.93
8,Lincoln 1,22.4,98.16,41.6,5.7,7.63,58.31
9,Oddments,27.7,75.02,36.3,9.7,10.05,56.06
10,Crossbred lustre,23.5,118.03,38,4.6,12.24,96.8
11,Crossbred fleece,22.6,87.51,40.2,6.2,5.24,33.16
12,Woollen blend,25.6,80.65,34.1,18.7,6.34,38.81
13,Fine halfbred,27.3,92.1,26.4,0.39,23.29,186.36
14,Corriedale 1,30,97.2,29.8,0.8,24.67,218.84
15,Perendale 2,33,92.9,32.8,12.4,25.63,244.01
16,Drysdale 2,27.4,81.1,34.5,30.2,4.1,34.39
17,Lincoln 2,22.2,101.9,37.4,2.1,7.45,71.69
18,Semi-worsted 2,25.3,97.8,33.2,3.3,15.8,141.91
19,Crossbred lambs 2,26.9,73,30.4,14.6,11.19,92.84
20,Corriedale 2,30,98.5,30.8,0.77,25.49,227.47
21,Down 2,33.7,92.3,33.2,4.3,24.14,217.73
