pestID,pestName,logRT,totEnergy,num6Ring,ATS1m,ATS7v,GATS2e,EEig05d,crossval
1,a-666,1.275,?258.84,1,3.207,0.000,1.222,1.904,1
2,Chlorbufan,1.313,?99.54,1,2.959,2.197,0.733,1.278,1
3,Atrazine,1.323,78.72,1,2.924,1.386,0.305,1.226,1
4,Trietaezine,1.326,238.59,1,2.997,1.609,0.936,1.229,1
5,Fonofos,1.337,?434.06,1,3.490,1.609,1.212,1.000,1
6,PCB15,1.344,111.06,2,2.991,1.792,0.758,1.000,1
7,Carbofuran,1.360,?463.49,1,2.995,1.858,0.911,1.687,1
8,"4,4'-DDM",1.390,88.01,2,3.040,2.197,0.769,1.000,1
9,PCB31,1.399,75.77,2,3.129,1.792,0.795,1.234,1
10,Benoxacor,1.401,?276.99,2,3.153,1.099,0.847,2.097,1
11,Phosphamidon,1.430,"?1,235.2",0,3.451,2.180,0.516,1.855,1
12,Benfuresate,1.432,?661.33,1,3.379,2.313,0.772,2.013,1
13,Aldrin,1.434,110.23,2,3.518,0.000,0.763,2.287,1
14,PCB52,1.443,41.37,2,3.251,1.609,0.833,1.904,1
15,Metolachlor,1.464,?415.16,1,3.155,2.200,0.637,1.987,1
16,Trichoronate,1.472,?678,1,3.607,2.361,1.173,1.809,1
17,Methoprene,1.476,?733.24,0,3.164,2.743,1.051,2.345,1
18,Chlorpyriphos,1.476,?848.13,1,3.673,2.574,0.910,1.812,1
19,Thiobencarb,1.478,?209.2,1,3.141,2.417,0.668,2.153,1
20,Methiocarb,1.483,?333.36,1,3.029,1.843,0.512,2.147,1
21,Isodrin,1.485,314.67,2,3.518,0.000,0.763,2.299,1
22,Fenthion,1.501,?770.14,1,3.542,2.138,0.548,1.880,1
23,Allethrin,1.503,?463.44,0,3.232,2.972,0.760,2.604,1
24,Isocarbophos,1.520,?958.97,1,3.509,2.270,0.826,1.586,1
25,Isofenphos,1.523,"?1,069.49",1,3.627,3.030,0.957,2.181,1
26,Triadimenol,1.533,?133.17,1,3.264,2.727,0.970,1.939,1
27,Procymedone,1.544,?265.24,2,3.261,2.303,0.640,2.623,1
28,Quinalphos,1.549,?639.59,2,3.579,2.624,0.800,1.618,1
29,Alpha-endosulfan,1.549,?538.27,1,3.739,1.114,0.776,2.719,1
30,Phenthoate,1.551,?953.31,1,3.688,2.655,0.628,1.811,1
31,Chlorbenside,1.557,112.67,2,3.229,2.398,0.825,2.075,1
32,Crotoxyphos,1.561,"?1,255.53",1,3.519,2.601,0.492,1.939,1
33,Prothiofos,1.572,?718.96,1,3.735,2.687,1.091,1.977,1
34,Tetrachlorvinphos,1.576,?933.67,1,3.652,2.506,0.549,2.149,1
35,Chinomethionate(oxythioquinox),1.577,120.53,2,3.246,1.414,0.671,2.286,1
36,PCB87,1.581,31.71,2,3.359,2.079,0.872,2.155,1
37,4;4'-DDE,1.582,112.90,2,3.325,2.565,0.630,2.067,1
38,Methidathion,1.587,?837.39,0,3.718,2.136,0.613,2.134,1
39,Buprofezin,1.590,?80.05,2,3.332,2.594,0.525,2.522,1
40,Fenamiphos,1.590,?844.63,1,3.511,2.643,0.580,2.170,1
41,"2,4'-DDD",1.600,63.83,2,3.325,2.303,0.630,1.848,1
42,PCB149,1.608,3.00,2,3.457,2.197,0.911,2.268,1
43,Endrin,1.612,47.94,3,3.594,0.000,0.785,2.728,1
44,"2,4'-DDT",1.627,17.68,2,3.426,2.398,0.590,1.854,1
45,"4,4'-DDT",1.652,10.03,2,3.426,2.708,0.590,2.177,1
46,Benalaxyl,1.652,?430.6,2,3.326,3.335,0.552,2.255,1
47,PCB187,1.653,?17.33,2,3.546,2.398,0.950,2.484,1
48,Resmethrin,1.658,?348.91,1,3.390,3.023,0.758,2.603,1
49,PCB167,1.661,7.27,2,3.457,2.485,0.911,2.373,1
50,Bifenthrin,1.663,?859.34,2,3.603,3.231,0.475,2.612,1
51,Famphur,1.664,"?1,113.8",1,3.763,2.390,0.572,1.734,1
52,Edifenphos,1.664,?453.02,2,3.721,2.833,0.680,1.774,1
53,PCB202,1.665,?33.33,2,3.627,2.303,0.990,2.633,1
54,Bromopropylate,1.670,?377.13,2,3.601,3.151,0.919,2.413,1
55,Fenpropathrin,1.673,?181.69,2,3.428,3.360,0.953,2.947,1
56,Phenothrin,1.678,?322.16,2,3.423,3.191,0.891,2.603,1
57,Dicofol,1.678,?158.88,2,3.469,2.708,0.750,2.177,1
58,Tetramethrin,1.679,?669.63,1,3.373,3.033,0.481,2.665,1
59,Pyridaphenthion,1.680,?752.41,2,3.673,2.866,0.793,1.781,1
60,Leptophos,1.687,?435.46,2,3.797,2.923,0.960,2.069,1
61,Imidan,1.687,?841.72,1,3.717,2.613,0.536,2.371,1
62,Tertradifon,1.688,?230.03,2,3.618,2.485,0.916,2.515,1
63,Pyrazophos-ethyl,1.695,?980.22,1,3.747,2.922,0.830,2.113,1
64,Fenarimol,1.697,137.13,3,3.398,2.878,0.856,1.920,1
65,Permethrin,1.700,?305.86,2,3.543,3.191,0.804,2.722,1
66,Azinphos-methyl,1.700,?517.14,2,3.726,2.572,0.623,1.921,1
67,PCB194,1.701,?16.85,2,3.627,2.773,0.990,2.641,1
68,Lindane,1.340,?258.84,1,3.207,0.000,1.222,1.904,2
69,Fenchlorphos,1.429,?810.07,1,3.612,1.962,0.790,1.780,2
70,Pentanochlor,1.451,?273.01,1,2.976,2.352,0.751,1.878,2
71,Bromophos-methyl,1.504,?757.78,1,3.707,2.070,0.758,1.769,2
72,PCB70,1.522,51.64,2,3.251,2.079,0.833,2.124,2
73,PCB101,1.545,19.14,2,3.359,2.079,0.872,2.214,2
74,"2,4'-DDE",1.545,119.53,2,3.325,2.303,0.630,1.756,2
75,PCB118,1.614,29.77,2,3.359,2.303,0.872,2.150,2
76,PCB153,1.627,?2.81,2,3.457,2.398,0.911,2.262,2
77,Beta-endosulfan,1.637,?491.71,1,3.739,1.114,0.776,2.719,2
78,"4,4'-DDD",1.637,29.37,2,3.325,2.565,0.630,2.177,2
79,PCB141,1.639,10.66,2,3.457,2.303,0.911,2.478,2
80,Sulprophos,1.647,?659.2,1,3.721,2.647,1.113,2.389,2
81,PCB138,1.650,9.71,2,3.457,2.398,0.911,2.256,2
82,PCB185,1.661,?3.25,2,3.546,2.303,0.950,2.713,2
83,PCB128,1.666,22.13,2,3.457,2.398,0.911,2.243,2
84,PCB180,1.674,?11.09,2,3.546,2.565,0.950,2.487,2
