gender,tibia,femur,height
1,43.703,52.801,130.561
1,39.110,47.533,140.947
1,39.961,49.136,144.074
1,37.587,47.369,146.319
1,35.032,38.403,148.204
1,31.884,49.300,150.088
1,39.884,47.827,150.208
1,39.806,55.353,150.249
1,39.806,45.046,150.289
1,41.303,49.562,150.329
1,38.310,48.907,150.369
1,36.761,46.453,150.570
1,36.065,48.154,150.610
1,35.445,49.005,150.650
1,38.077,45.111,151.376
1,36.194,48.482,152.013
1,38.129,46.289,152.093
1,39.781,50.772,152.213
1,38.748,47.925,152.375
1,38.258,47.533,152.736
1,41.535,49.365,153.056
1,40.968,49.823,153.458
1,40.761,46.355,153.898
1,36.890,49.987,154.098
1,40.968,49.038,154.258
1,38.955,46.878,154.419
1,39.445,48.842,154.741
1,39.806,45.635,155.102
1,39.574,51.819,155.745
1,40.374,50.576,156.223
1,38.387,50.216,156.303
1,39.832,48.253,156.505
1,37.510,48.514,156.584
1,42.077,51.198,156.786
1,42.826,48.024,156.986
1,40.116,45.373,157.106
1,38.077,49.234,157.146
1,37.329,51.852,157.266
1,42.155,52.277,157.306
1,41.794,43.933,157.427
1,41.097,47.238,157.506
1,39.523,47.860,157.626
1,39.961,47.729,157.626
1,40.477,48.613,157.706
1,37.742,49.234,157.948
1,39.006,49.725,158.228
1,43.419,51.459,158.468
1,41.252,51.165,158.589
1,41.355,49.791,158.951
1,39.910,49.987,159.311
1,49.226,47.336,159.432
1,41.510,47.631,159.672
1,39.755,50.707,159.751
1,39.574,47.042,159.872
1,41.768,49.562,160.113
1,42.568,51.754,160.313
1,41.535,50.510,160.313
1,39.548,49.005,160.553
1,39.239,49.921,161.235
1,44.426,53.063,161.315
1,41.071,52.179,161.555
1,41.819,48.253,162.438
1,44.013,52.441,163.360
1,44.710,49.038,163.640
1,43.471,53.292,164.242
1,44.219,49.954,165.124
1,41.071,52.441,165.245
1,42.929,53.194,165.405
1,40.968,50.838,166.608
1,45.794,56.957,168.292
1,42.310,50.641,168.452
1,39.961,51.525,169.334
1,42.361,55.550,172.583
1,44.735,54.110,179.398
2,24.018,31.441,120.000
2,31.741,40.605,138.555
2,37.545,46.937,149.214
2,41.563,51.107,156.147
2,39.063,49.871,156.340
2,39.911,47.143,157.047
2,37.455,44.260,157.111
2,42.768,48.430,159.293
2,38.884,48.945,161.798
2,41.116,50.541,162.568
2,40.268,49.254,165.136
2,42.545,52.239,165.393
2,40.982,50.592,165.522
2,43.571,48.121,165.522
2,42.143,51.055,166.164
2,39.241,47.967,166.292
2,39.821,51.725,166.484
2,42.366,49.202,166.741
2,40.982,48.224,167.384
2,40.580,47.040,168.282
2,43.214,52.239,168.411
2,40.089,53.115,168.539
2,40.938,48.121,168.796
2,42.188,53.012,169.117
2,43.036,53.012,169.309
2,41.696,51.931,170.080
2,40.848,51.622,170.208
2,42.500,56.409,170.337
2,42.723,51.313,170.529
2,42.054,51.313,170.529
2,42.054,53.372,170.658
2,41.295,53.372,170.722
2,43.080,52.806,170.915
2,43.482,51.982,171.236
2,41.741,49.511,171.428
2,39.866,53.423,171.812
2,44.018,51.622,172.327
2,41.027,55.792,172.904
2,42.321,50.129,173.803
2,47.857,52.857,174.317
2,42.857,54.144,174.895
2,40.491,52.548,175.152
2,45.938,53.063,175.216
2,46.741,59.189,175.281
2,44.598,51.570,175.281
2,43.304,56.615,175.601
2,44.330,56.873,175.729
2,46.027,56.873,176.049
2,41.786,50.180,176.436
2,43.170,56.873,176.565
2,38.795,57.748,176.693
2,44.821,53.063,176.757
2,44.509,53.063,176.757
2,41.384,51.570,177.013
2,43.571,51.467,177.013
2,45.580,55.019,177.271
2,42.946,53.835,177.655
2,47.455,56.461,177.783
2,48.170,52.651,178.169
2,41.473,51.261,178.362
2,44.643,55.689,178.555
2,45.045,58.983,178.683
2,43.973,55.071,178.875
2,42.634,52.291,178.939
2,47.634,58.108,179.454
2,44.688,53.423,179.902
2,49.777,55.277,180.353
2,48.036,52.806,180.609
2,44.018,58.726,181.250
2,45.714,55.380,182.151
2,44.821,55.997,182.215
2,46.116,55.997,182.279
2,46.116,54.710,182.408
2,45.268,57.336,182.408
2,41.205,57.336,182.472
2,47.589,52.394,182.600
2,44.286,57.593,182.985
2,45.402,56.667,183.242
2,43.571,55.380,183.818
2,44.598,59.138,184.333
2,47.411,56.203,184.462
2,46.607,55.431,184.590
2,45.402,57.954,184.719
2,45.402,54.813,184.719
2,49.643,54.041,185.361
2,51.116,61.969,185.361
2,43.795,58.520,185.489
2,47.232,58.160,185.554
2,47.723,59.498,186.646
2,48.795,55.843,187.287
2,43.304,54.865,187.608
2,47.991,50.232,198.202
