crop,plot,subsidence,pasture,truckCrop,waterTbl
1,2,1.90,1,0,30.5
1,3,2.88,1,0,43
1,1,4.08,1,0,56.7
1,4,4.16,1,0,57.6
1,5,5.23,1,0,71.9
1,8,5.15,1,0,77.7
1,6,5.56,1,0,80.8
1,7,5.44,1,0,80.8
2,2,1.94,0,1,32.1
2,3,2.76,0,1,46.3
2,1,4.00,0,1,58.2
2,4,4.12,0,1,60.4
2,5,5.03,0,1,70.4
2,8,4.98,0,1,78.9
2,6,5.64,0,1,78.9
2,7,4.98,0,1,79.9
3,2,1.48,0,0,35.7
3,3,2.35,0,0,51.5
3,1,3.12,0,0,62.5
3,4,2.97,0,0,67.4
3,5,3.50,0,0,78.3
3,8,4.49,0,0,83.8
3,6,4.00,0,0,86.9
3,7,3.91,0,0,86
